dates,price,today,yesterday,volume.yesterday,hvt30d
2017-01-03,28.99,1.19,0,31841,9.5
2017-01-04,29.276,0.99,1.19,140484,9.9
2017-01-05,29.26,-0.05,0.99,222832,9.9
2017-01-06,29.35,0.31,-0.05,52897,9.9
2017-01-09,29.43,0.27,0.31,49349,9.8
2017-01-10,29.3654,-0.22,0.27,67568,9.9
2017-01-11,29.55,0.63,-0.22,55713,10
2017-01-12,29.53,-0.07,0.63,135014,9.9
2017-01-13,29.71,0.61,-0.07,119953,9.7
2017-01-17,29.42,-0.98,0.61,176810,10.3
2017-01-18,29.52,0.34,-0.98,161305,10.1
2017-01-19,29.59,0.24,0.34,138388,9.9
2017-01-20,29.88,0.98,0.24,127627,9.9
2017-01-23,29.735,-0.49,0.98,164564,9.7
2017-01-24,30.09,1.19,-0.49,95402,10.3
2017-01-25,30.73,2.13,1.19,130418,11.5
2017-01-26,30.53,-0.65,2.13,193791,11.7
2017-01-27,30.5,-0.1,-0.65,259329,10.9
2017-01-30,30.33,-0.56,-0.1,66135,11.1
2017-01-31,30.48,0.49,-0.56,70423,10.5
2017-02-01,30.79,1.02,0.49,93383,10.8
2017-02-02,30.74,-0.16,1.02,122856,10.8
2017-02-03,30.97,0.75,-0.16,112571,10.9
2017-02-06,30.76,-0.68,0.75,144109,11.2
2017-02-07,30.718,-0.14,-0.68,190576,11.2
2017-02-08,30.8,0.27,-0.14,274462,11.2
2017-02-09,30.95,0.49,0.27,113972,10.9
2017-02-10,31.09,0.45,0.49,151012,10.9
2017-02-13,31.27,0.58,0.45,151080,10.9
2017-02-14,31.41,0.45,0.58,174784,10.6
2017-02-15,31.5,0.29,0.45,647190,10.3
2017-02-16,31.46,-0.13,0.29,128413,10.4
2017-02-17,31.6,0.45,-0.13,171045,10.4
2017-02-21,31.89,0.92,0.45,122432,10.6
2017-02-22,31.84,-0.16,0.92,379307,10.5
2017-02-23,31.75,-0.28,-0.16,232674,10.6
2017-02-24,31.54,-0.66,-0.28,192197,10.9
2017-02-27,31.6,0.19,-0.66,218588,10.9
2017-02-28,31.37,-0.73,0.19,140266,10.6
2017-03-01,31.95,1.85,-0.73,157966,11.7
2017-03-02,31.67,-0.88,1.85,189363,12.2
2017-03-03,31.7,0.09,-0.88,96105,11.9
2017-03-06,31.54,-0.5,0.09,155308,12
